,Symbol,Name,52 Week High,52 Week Low
106,CMG,Chipotle Mexican Grill,263.0,499.0
107,CB,Chubb Limited,130.17,157.5
108,CHD,Church & Dwight,43.21,54.1799
109,CI,CIGNA Corp.,141.93,227.13
110,XEC,Cimarex Energy,89.49,136.31
111,CINF,Cincinnati Financial,68.24,81.98
112,CTAS,Cintas Corporation,113.79,169.96
113,CSCO,Cisco Systems,30.36,42.98
114,C,Citigroup Inc.,56.14,80.7
115,CFG,Citizens Financial Group,31.51,48.23
